0;Novamente;lipsum dois; credo
33;Briefing;Todas as informações necessárias para realização de uma determinada ação;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
34;Broad band;Banda larga;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
35;Budget;É o orçamento – normalmente, anual. O processo de planejamento financeiro anual deve ser precedido de uma definição de objetivos, estratégias, prioridades, pessoal e organização, processados numa modelagem financeira em planilhas Excel ou equivalente. É importante envolver pelo menos cinco áreas da empresa: marketing, engenharia, logística e/ou produção, vendas, treinamento e finanças.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
36;BUMO;Sigla de Brand Used Most Often – refere à marca ou produto mais utilizado, ou mais frequente;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
37;Business Intelligence;Processo de coleta, organização, análise, compartilhamento e monitoramento de informações que oferecem suporte à tomada de decisões empresariais.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
38;Business Plan;Plano de negócios;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
39;Business Unit;Unidade de Negócios;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
40;Buying in;Compra (de uma empresa, por exemplo);https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
41;Canvas;Metodologia para organizar (em um espaço) ideias sobre como buscar resultados. A organização é feita por meio do preenchimento de um quadro, utilizando post-its – uma aplicação estruturada, instigante e envolvente para construir, alterar ou avaliar modelos de gestão empresarial.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
42;Capacidade;Aptidão de uma organização, sistema ou processo de realizar um produto que irá atender os requisitos para este produto.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
43;Capital de Giro;São os recursos financeiros utilizados para cobrir os custos do dia a dia e o prazo entre o pagamento de despesas e o recebimento da receita.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
44;Capital Humano;Diferente de recursos humanos, “capital humano” é o conjunto de conhecimentos, experiências e aprendizados das pessoas que lhes permitem realizar trabalhos com diferentes graus de complexidade e especialização.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
45;Característica da Qualidade;Característica inerente a um produto, processo ou sistema, relacionada a um produto.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
46;Características;Propriedade diferenciadora.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
47;Características Metrológicas;Propriedade distinta que pode influenciar os resultados de medição.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
48;Certificação;Modo pelo qual uma terceira parte dá garantia escrita de que um produto, processo ou serviço está em conformidade com os requisitos especificados.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
49;Classe;Categoria ou classificação atribuída a diferentes requisitos da qualidade para produtos, processos ou sistemas que tem o mesmo uso funcional.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
50;Cliente;Organização ou pessoa que recebe um produto.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
51;Cliente de Auditoria;Organização ou uma pessoa que solicitou uma auditoria.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
52;Clima organizacional;É o ambiente interno de uma empresa. Para avaliá-lo são considerados aspectos relacionados à liderança, motivação e planejamento de carreira.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
53;Commodity;Produto primário, geralmente com grande participação no comércio internacional.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
54;Competência;Atributos pessoais demonstrados e capacidade demonstrada para aplicar conhecimento e habilidades.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
55;Comprovação metrológica;Conjunto de operações necessárias para assegurar que um equipamento de medição atende seus requisitos para seu uso pretendido.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
56;Concessão;Permissão para usar ou liberar um produto que não atende os requisitos especificados.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
57;Conclusão de Auditoria;Resultado de uma auditoria, apresentado pela equipe de auditoria após levar em consideração os objetivos da auditoria e todas as constatações de auditoria.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
58;Conformidade;Atendimento a um requisito.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
59;Constatações de Auditoria;Resultados da avaliação da evidência de auditoria coletada, comparada com os critérios de auditoria.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
60;Controle da Qualidade;Parte de gestão da qualidade focada no atendimento dos requisitos da qualidade.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
61;Controlling;O controlling permite definir e gerenciar orçamentos e comparar os índices reais e planejados a qualquer momento, obtendo um quadro exato e atual do seu negócio.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
62;Correção;Ação para eliminar uma não-conformidade identificada.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
63;Critério de Auditoria;Conjunto de políticas, procedimentos ou requisitos usado como uma referência.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
64;Custos da Qualidade;Custos relacionados com as perdas em função da qualidade insuficiente de processos, produtos ou serviços (custos da não-conformidade) ou com os investimentos em atividades que eliminem falhas ou elevem a qualidade de processos, produtos ou serviços (custos da conformidade). A identificação e a apropriação contábil desses custos permitem que o administrador possa fazer uma análise do nível de qualidade de sua produção e possa tomar decisões para melhorar esse nível.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
65;Data-base marketing;Marketing baseado em banco de dados de nomes e pessoas, para quem você dirige mensagens de interesse de sua empresa;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
66;Deadline;Data limite. Data, dia ou hora, em que alguma coisa precisa ser dada como terminada ou liquidada;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
67;Declaração de Conformidade;Declaração, emitida pelo fornecedor ou pelo produtor de um software, assegurando que este opera em conformidade com certas normas ou especificações pré-estabelecidas.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
68;Defeito;Não atendimento a um requisito relacionado a um uso pretendido ou especificado.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
69;Desempenho Ambiental;Resultados mensuráveis da gestão de uma organização sobre seus aspectos ambientais.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
70;Desenvolvimento;perfeiçoar as capacidades e motivações dos empregados, a fim de torná-los futuros membros valiosos da organização;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
71;Design Thinking;Modo de pensar “graficamente”. É uma abordagem que facilita pensar e atuar “fora da caixa”, bem como utilizar a criatividade de forma colaborativa para gerar e implantar ideias (criatividade e inovação), a partir das necessidades reais dos stakeholders (grupos de interesse).;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
72;Documento;Informação e o meio no qual ela está contida.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
73;Downsizing;Redução no número de funcionários da empresa;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
74;Dumping;Dumping é uma prática comercial, geralmente desleal, que consiste em uma ou mais empresas de um país venderem seus produtos por preços extraordinariamente baixos (muitas vezes com preços de venda inferiores ao preço de produção) por um tempo, visando prejudicar e eliminar a concorrência local, passando então a dominar o mercado e impondo preços altos. É um termo usado em comércio internacional e é reprimido pelos governos nacionais, quando comprovado;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
75;E-learning;Aprendizagem realizada através da Internet. Ensino ou formação a distância.;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
76;EBITDA;Earnings before interest, taxes, depreciation and amortization – ganhos antes dos pagamentos de juros, impostos, depreciação e amortização. O termo é seguido por um número que representa os ganhos da empresa em um determinado período permitindo portanto análise da performance financeira de tal empresa;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
77;Educação continuada;Cursos de aperfeiçoamento referentes à atividade do funcionário. Pode incluir a pós-graduação;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
78;Eficácia;Extensão na qual atividade planejada são realizadas e os resultados planejados, são alcançados.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
79;Eficiência;Relação entre o resultado alcançado e os recursos usados.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
80;Empowerment;É uma ação da gestão que visa o melhor aproveitamento dos colaboradores por meio da delegação de poder. A prática é feita por empresas que dão mais poder, autonomia e responsabilidades aos seus colaboradores e que estão mais bem posicionadas para competir. É necessário alto grau de autonomia individual.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
81;Empreendimento;Processo único que consiste em um conjunto de atividades coordenadas e controladas, com datas de início e conclusão, realizados para atingir um objetivo em conformidade com requisitos especificados, incluindo as limitações de tempo, custo e recursos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
82;Empresabilidade;Conjunto de ações feitas pela empresa para tornar-se atrativa a colaboradores, clientes, fornecedores, parceiros e investidores.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
83;Endomarketing;É uma área diretamente ligada à de comunicação interna, que alia técnicas de marketing a conceitos de recursos humanos;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
84;Ensaio;Determinação de uma ou mais características de acordo com um procedimento.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
85;Enterprice Resource Planning;Sistema de informação cuja função é armazenar, processar e organizar as informações geradas nos processos organizacionais, estabelecendo relações de informação entre todas as áreas de uma companhia.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
86;Entidade Certificadora;Órgão que realiza a certificação de conformidade, a partir da existência da garantia adequada de que um produto, processo ou serviço, devidamente identificado, está em conformidade com uma norma ou outro documento normativo especificado.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
87;Entrepreneur;Empresário;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
88;Equipamento de Medição;Instrumento de medição, programa de computador, padrão de medição, material de referência ou dispositivos auxiliares, ou uma combinação deles, necessário para executar um processo de medição.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
89;Equipe de Auditoria;Um ou mais auditores que realizam uma auditoria, apoiados, se necessário, por especialistas.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
90;Escopo de Auditoria;Abrangência e limites de uma auditoria.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
91;Expertise;Conhecimento técnico;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
92;Feedback ;É um recurso considerado importante, pois com ele temos respostas de um determinado desempenho, seja pessoal ou de trabalho.;https://blog.fortestecnologia.com.br/dicionario-do-rh-41-termos-que-voce-precisa-saber/
93;Fornecedor;Organização ou pessoa que fornece um produto.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
94;Função metrológica;Função com responsabilidade da organização para definir e programar o sistema de controle de medição.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
95;Garantia da Qualidade;Parte da gestão da qualidade focada em prover confiança de que os requisitos da qualidade serão atendidos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
96;Garantia de Funcionamento;Termo coletivo utilizado para descrever o desempenho da disponibilidade e seus fatores que influenciam: desempenho da confiabilidade, desempenho da manutenção e desempenho no apoio da manutenção.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
97;Gestão;Atividades coordenadas para dirigir e controlar uma organização.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
98;Gestão Baseada em Valor;Modelo de gestão empresarial, que tem como foco maximizar o valor dos shareholders (acionistas) – numa abordagem restrita e dos stakeholders (grupo de interesse) – numa abordagem ampla.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
99;Gestão da Mudança;Os gestores devem se preparar para a mudança por meio respondendo a três perguntas fundamentais: Como será a organização do futuro?, Qual o processo de mudança ideal?, Qual o tipo de competência que fará a diferença? Criam-se, então, equipes de trabalho competitivas e motivadas (focus groups), das quais surgem, naturalmente, os agentes de mudança.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
100;Gestão do Conhecimento;Modelo de gestão que desenvolve processos para a aquisição e compartilhamento de conhecimentos experiências e aprendizados com todos os colaboradores.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
101;Gestão por Competência;Modelo que visa gerir competências individuais e estimular novas, bem como alocá-las de forma a multiplicarem o potencial produtivo da empresa.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
102;Gestão por Objetivos;Sistema de gestão em que os colaboradores e os superiores definem em conjunto qual é o objetivo do trabalho, como realizá-lo, de que forma será avaliado e qual o tempo necessário para a concretização.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
103;Impacto Ambiental;Qualquer modificação do meio ambiente, adversa ou benéfica, que resulte, no todo ou em parte, dos aspectos ambientais da organização.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
104;Informação;Dados significativos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
105;Infra-Estrutura;Sistema de instalações, equipamentos e serviços necessários para a operação de uma organização.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
106;Inspeção;Avaliação da conformidade pela observação e julgamento, acompanhada, se necessário, de medições, ensaios ou comparação com padrões.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
107;Intrapreneur ;(não confundir com entrepreneur)Empreendedor interno, pessoa que dirige uma unidade do negócio como se ela fosse uma empresa independente;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
108;ISO;International Organization for Standardization (Organização Internacional de Normalização). Rede dos institutos nacionais de normas de 146 países, composta por um membro de cada país, com uma secretaria central localizada em Genebra/Suíça, que coordena a rede. Trata-se de uma organização não-governamental, com membros dos setores governamental e privado.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
109;Job rotation;Rodízio de funções promovido pela empresa, para que o funcionário possa adquirir novos conhecimentos em setores diferentes e acumular experiências, sem sair da companhia em que trabalha;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
110;Join Venture;Associação de empresas para explorar determinado negócio. De caráter não definitivo, nenhuma das empresas participantes perde sua personalidade jurídica;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
111;Key Performance Indicator;Técnica de gestão que avalia o desempenho do negócio (Exemplos: taxa de cancelamento de pedidos, taxa de horas de parada de equipamento, fator de capacidade líquida, retorno sobre investimento, custo da mão-de-obra etc.).;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
112;Kick-off;Dar o primeiro passo, começar;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
113;Know-how;Conhecimento;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
114;L.L.M;Master of Laws, mestrado em direito;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
115;Market share;Fatia de mercado;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
116;Markup;É um sobre-preço que se acrescentado ao preço final do produto (digamos, após custo de produção, distribuição e margem de lucro prevista);https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
117;MBA;Sigla em inglês para Master in Business Administration. É um curso que equivale à pós-graduação em administração de empresas;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
118;MBA in company;MBA oferecido pela empresa dentro de seu próprio espaço físico;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
119;Mentoring;Profissional mais velho, com experiência e habilidade de relacionamento, que acompanha e passa para o mais novo suas idéias sobre o trabalho e a carreira;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
120;Merchandising;Prática de marketing na qual a marca ou a imagem de um produto ou serviço é utilizada para vender outro, destacando-o da concorrência, isto acontecendo no ponto de venda (PDV). Merchandising é a ação de promover que usa a comunicação de marketing no ponto de venda e em espaços editoriais na televisão, mídia[media] impressa e outros, para reforçar mensagens publicitárias feitas anteriormente, ou mesmo em substituição à publicidade, em alguns casos.;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
121;Meritocracia;Sistema de recompensa e/ou promoção fundamentado no mérito pessoal;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
122;Nepotismo;Favorecimento de parentes próximos feito por quem tem autoridade e poder;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
123;Networking;Ação de estabelecer e manter uma rede de contatos. Fazer networking é uma ótima forma de otimizar a base de seus relacionamentos e transformá-los em benefício mútuo.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
124;Newsletter;Boletim de notícias;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
125;Organização que Aprende;São empresas gerenciadas de forma transparente, com gestores que divulgam aquilo que sabem, pedem ajuda quando não sabem e facilitam o aprendizado de seus liderados.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
126;Outplacement;Serviço oferecido e pago pela empresa, que consiste no aconselhamento, apoio, orientação e estímulo ao profissional demitido, preparando-o técnica e psicologicamente para se recolocar no mercado de trabalho, bem como para o planejamento de sua carreira;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
127;Outsourcing;Terceirização;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
128;Overhead;Despesas operacionais;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
129;Paradigma;Um exemplo que serve como modelo, padrão;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
130;Performance;Palavra inglesa que significa atuação e desempenho;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
131;Planejamento Estratégico;Avalia o potencial total de um negócio, vinculando objetivos e ações.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
132;Plano de Marketing;Ferramenta que alinha diagnóstico de mercado (análise SWOT), objetivos de marketing, estratégia de marketing, marketing mix, previsão de vendas, orçamento de marketing e monitoramento de resultados.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
133;Player;Empresa que está desempenhando algum papel em algum mercado ou negociação;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
134;PME;É a sigla para pequenas e médias empresas. Uma pequena empresa possui de dez a 49 colaboradores, uma empresa média, entre 50 e 249.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
135;Presenteísmo;Diferente do absenteísmo, quem sofre deste mal não falta ao trabalho, mas ao final de todos os dias sofre com dores de cabeça, cansaço, dores nas costas, irritação, sinusite e alergias – com isso, a produtividade e a motivação é que deixam de aparecer;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
136;Reengenharia;Mudança nos processo internos de uma empresa;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
137;Resiliência;Capacidade de se recobrar facilmente ou se adaptar à má sorte ou às mudanças;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
138;Responsabilidade social;Atuação e consciência do papel das empresas como agentes sociais no desenvolvimento do ser humano e da comunidade à qual está inserido;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
139;Retorno sobre Investimento;É um índice financeiro que mede o retorno de determinado investimento realizado e contabilizado em meses, nos quais ele será amortizado para, a partir daí, gerar lucro.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
140;RH;Sigla de recursos humanos (departamento responsável pelas contratações, treinamentos, remuneração, encaminhamento de carreira e conflitos na empresa);https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
141;Sales manager;Gerente de vendas;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
142;Satisfação do Cliente;Percepção do cliente do grau no qual os seus requisitos foram atendidos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
143;Share;Fatia do mercado – muito usado quando a empresa quer determinar quanto em porcentagem do mercado ela obtem de terminado produto ou seguimento.;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
144;Sinergia;Ação positiva e simultânea de um grupo de pessoas na realização de uma atividade;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
145;Sistema;Conjunto de elementos inter-relacionados ou interativos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
146;Sistema de controle de medição;Conjunto de elementos inter-relacionados ou interativos, necessários para alcançar a comprovação metrológica e controle contínuo dos processos de medição.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
147;Sistema de Gestão;Sistema para estabelecer políticas e objetivos, e para atingir estes objetivos.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
148;Sistema de Gestão Ambiental;A parte de um sistema de gestão de uma organização utilizada para desenvolver e programar sua política ambiental e para gerenciar seus aspectos ambientais.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
149;Sistema de Gestão da Qualidade;Sistema de gestão para dirigir e controlar uma organização, no que diz respeito à qualidade.;https://sites.google.com/site/planejaweb/dicionario-de-gestao
150;Skill;Habilidade;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
151;Spread;Taxa de risco;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
152;Stakeholders;Partes / grupos que estão diretamente interessadas na atividade da empresa: acionistas, governo, clientes, funcionários, fornecedores e sociedade;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
153;Stand-by;No aguardo, em modo de espera.;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
154;Start up;Início da operação;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
155;Status-quo;Situação atual do ambiente interno da empresa, principalmente no que diz respeito aos processos internos.;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
156;Target;Alvo;https://www.rhportal.com.br/artigos-rh/dicionrio-corporativs/
157;Teambuilding;Conscientização dos profissionais a respeito da importância e da necessidade do trabalho em equipe, por meio de ações que motivem as pessoas a realizar as atividades diárias.;http://escreverbem.com.br/corporatives-conheca-35-termos-de-gestao-empresarial/
